question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,topic,source
"En Ruby, quelle syntaxe crée une variable locale appelée age ?",age = 30,let age = 30,var age = 30,int age = 30,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
Quel nom de variable locale Ruby est valide ?,user_name,user-name,2users,user name,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
Quelle valeur représente l'absence de valeur en Ruby ?,nil,null,undefined,empty,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
Quelle classe Ruby représente un nombre entier comme 42 ?,Integer,Float,String,NumberText,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
"Quelle classe Ruby représente du texte comme ""bonjour"" ?",String,Text,CharArray,Word,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
Quelle valeur Ruby est booléenne ?,true,yes,1 as true,enabled,Ruby,easy,ruby_variables_types,Web Dev & IA Quiz
Que vaut une constante Ruby par convention ?,Un nom commençant par une majuscule,Un nom commençant par @,Un nom avec un tiret,Un nom entre crochets,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quel symbole indique une variable d'instance en Ruby ?,@,@@,$,&,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quel symbole indique une variable de classe en Ruby ?,@@,@,$,#,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quel symbole indique une variable globale en Ruby ?,$,@,@@,!,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quelle affectation Ruby crée deux variables en une ligne ?,"a, b = 1, 2",a := 1; b := 2,"let a, b = 1, 2","a -> 1, b -> 2",Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Que retourne age.class si age vaut 30 ?,Integer,String,Float,Boolean,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Que retourne price.class si price vaut 12.5 ?,Float,Integer,DecimalString,Number,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Quelle variable est accessible uniquement dans son contexte local ?,Une variable locale,Une variable globale,Une constante système,Une variable d'environnement,Ruby,medium,ruby_variables_types,Web Dev & IA Quiz
Pourquoi éviter les variables globales en Ruby ?,Elles peuvent rendre le code difficile à suivre,Elles sont interdites par Ruby,Elles ne peuvent stocker que du texte,Elles ralentissent toujours Rails,Ruby,hard,ruby_variables_types,Web Dev & IA Quiz
Quelle différence principale existe entre nil et false en Ruby ?,"nil représente l'absence de valeur, false représente le faux booléen",nil et false sont toujours identiques,false représente une chaîne vide,nil vaut automatiquement zéro,Ruby,hard,ruby_variables_types,Web Dev & IA Quiz
"Dans Ruby, quelles valeurs sont considérées comme falsey ?",false et nil,"false, nil et 0","false, nil et chaîne vide",Toutes les valeurs vides visuellement,Ruby,hard,ruby_variables_types,Web Dev & IA Quiz
Pourquoi une constante Ruby peut-elle quand même être modifiée avec avertissement ?,Ruby prévient mais n'empêche pas toujours la réassignation,Ruby transforme la constante en variable locale,Ruby supprime le programme,Ruby interdit toute constante,Ruby,hard,ruby_variables_types,Web Dev & IA Quiz
