name;content;description;steps;mood;location;duration;image_key
Cinq rouges;Crée une mini-série photo autour de la couleur rouge.;Une chasse visuelle courte pour regarder ton environnement autrement.;1) Lance l'appareil photo. 2) Cherche cinq éléments rouges autour de toi. 3) Cadre chaque objet différemment. 4) Varie distance et angle. 5) Garde la meilleure image de la série.;En forme;Maison;5;photo
Textures proches;Photographie trois textures que tu ne remarques jamais.;Un exercice rapide pour entraîner ton regard aux détails.;1) Cherche une surface intéressante. 2) Approche-toi sans flouter. 3) Cadre serré. 4) Photographiez trois textures différentes. 5) Compare celle qui fonctionne le mieux.;Mitigé;Maison;5;photo
Reflet express;Capture un reflet dans une vitre une flaque ou un objet brillant.;Une activité photo courte pour jouer avec la lumière.;1) Cherche une surface réfléchissante. 2) Place-toi de côté. 3) Observe ce qui apparaît dans le reflet. 4) Cadre simplement. 5) Prends deux versions et garde la plus lisible.;À plat;Maison;5;photo
Ombre graphique;Transforme une ombre en composition visuelle.;Un mini-défi photo basé sur contrastes et formes.;1) Repère une ombre nette. 2) Cadre uniquement la partie intéressante. 3) Évite les éléments parasites. 4) Prends une photo verticale puis horizontale. 5) Choisis la plus graphique.;En forme;Bureau;5;photo
Objet luxe;Photographie un objet banal comme s'il était précieux.;Un exercice amusant pour travailler cadrage et mise en valeur.;1) Choisis un objet simple. 2) Pose-le dans une zone propre. 3) Approche-toi légèrement. 4) Cherche un angle flatteur. 5) Prends une photo comme une publicité premium.;Mitigé;Bureau;5;photo
Trois angles;Prends trois photos du même sujet sous trois angles différents.;Une activité rapide pour comprendre l'impact du point de vue.;1) Choisis un sujet proche. 2) Photographie-le de face. 3) Recommence de côté. 4) Essaie une vue basse ou haute. 5) Compare les trois résultats.;À plat;Bureau;5;photo
Détail oublié;Capture un détail que personne ne regarderait normalement.;Un exercice d'attention visuelle plus adulte qu'une simple observation.;1) Regarde autour de toi lentement. 2) Repère un détail discret. 3) Cadre serré. 4) Élimine le contexte inutile. 5) Prends une photo qui rend ce détail intéressant.;En forme;Extérieur;5;photo
Ligne forte;Trouve une ligne visuelle et utilise-la pour guider le regard.;Un exercice de composition simple et efficace.;1) Cherche une ligne comme bord table rue câble ou mur. 2) Place-la dans ton cadre. 3) Fais-la entrer depuis un bord de l'image. 4) Prends la photo. 5) Vérifie si l'œil la suit.;Mitigé;Extérieur;5;photo
Objet rond;Réalise une mini-photo centrée sur une forme ronde.;Un défi de composition autour des formes simples.;1) Trouve un objet rond. 2) Cadre-le clairement. 3) Ajoute un peu d'espace autour. 4) Prends une photo de près. 5) Essaie une version plus minimaliste.;À plat;Extérieur;5;photo
Photo calme;Photographie quelque chose qui représente le calme pour toi.;Une activité expressive qui transforme une émotion en image.;1) Choisis l'idée de calme. 2) Cherche un objet lieu ou lumière qui l'évoque. 3) Cadre simplement. 4) Évite le désordre visuel. 5) Prends une photo douce.;En forme;Maison;5;photo
Contraste visible;Photographie deux éléments qui s'opposent visuellement.;Un exercice rapide pour créer une image plus forte.;1) Cherche clair contre sombre ou petit contre grand. 2) Place les deux éléments dans le cadre. 3) Simplifie la composition. 4) Prends la photo. 5) Vérifie que le contraste se comprend.;Mitigé;Maison;5;photo
Couleur dominante;Crée une photo où une seule couleur domine.;Un mini-exercice de direction artistique avec ce que tu as autour.;1) Choisis une couleur présente. 2) Cherche un sujet qui la porte. 3) Évite les couleurs concurrentes. 4) Cadre serré. 5) Prends une image simple et lisible.;À plat;Maison;5;photo
Cadre dans le cadre;Utilise une porte une fenêtre ou un objet pour encadrer ton sujet.;Une technique photo rapide qui donne de la profondeur.;1) Trouve un cadre naturel. 2) Place un sujet à l'intérieur. 3) Recule ou avance pour ajuster. 4) Garde les bords propres. 5) Prends la photo.;En forme;Bureau;5;photo
Mini nature;Photographie un petit élément naturel même en ville.;Un exercice pour repérer le vivant autour de toi.;1) Cherche feuille plante ciel bois ou pierre. 2) Approche-toi. 3) Cadre en évitant le décor inutile. 4) Prends deux photos. 5) Garde celle qui semble la plus calme.;Mitigé;Bureau;5;photo
Symétrie rapide;Trouve une symétrie et photographie-la proprement.;Un défi court pour entraîner précision et cadrage.;1) Cherche porte fenêtre objet ou façade symétrique. 2) Place-toi bien en face. 3) Centre le sujet. 4) Corrige l'inclinaison. 5) Prends une photo nette.;À plat;Bureau;5;photo
Flou volontaire;Crée une image avec un léger flou de mouvement assumé.;Une activité créative pour accepter l'imperfection visuelle.;1) Choisis un sujet en mouvement ou bouge doucement. 2) Baisse un peu la stabilité volontairement. 3) Prends une photo. 4) Recommence plus lentement. 5) Garde la plus expressive.;En forme;Extérieur;5;photo
Objet minuscule;Mets en valeur un petit objet ou détail presque invisible.;Un exercice de regard et de cadrage serré.;1) Trouve un petit élément. 2) Nettoie le fond si possible. 3) Approche ton téléphone. 4) Fais la mise au point. 5) Prends une photo lisible.;Mitigé;Extérieur;5;photo
Avant après rapide;Capture une mini-transformation en deux photos.;Une activité photo qui crée une petite satisfaction visuelle.;1) Choisis une petite zone à améliorer ou déplacer. 2) Prends la photo avant. 3) Change un élément simple. 4) Prends la photo après. 5) Compare les deux images.;À plat;Extérieur;5;photo
Triangle visuel;Compose une photo avec trois points d'intérêt.;Un exercice simple pour structurer ton regard.;1) Repère trois éléments liés. 2) Place-les comme un triangle imaginaire. 3) Ajuste ton cadre. 4) Prends la photo. 5) Vérifie que le regard circule.;En forme;Maison;5;photo
Photo matière;Photographie un matériau de manière presque abstraite.;Un exercice esthétique autour du bois métal tissu verre ou pierre.;1) Choisis une matière. 2) Cadre très serré. 3) Cherche une zone avec lumière intéressante. 4) Prends la photo. 5) Garde celle qui ressemble presque à une image abstraite.;Mitigé;Maison;5;photo
Couleurs opposées;Photographie deux couleurs qui créent une tension visuelle.;Un exercice simple pour composer une image plus adulte et graphique.;1) Cherche deux couleurs opposées ou très différentes. 2) Place-les dans le même cadre. 3) Réduis les éléments parasites. 4) Prends plusieurs essais. 5) Garde l'image la plus lisible.;À plat;Maison;5;photo
