name;content;description;steps;mood;location;duration;image_key
Reset bureau express;Remets ton espace de travail au clair en quelques minutes.;Une activité courte pour retrouver une surface propre et une sensation de contrôle.;1) Retire tout ce qui n'a rien à faire sur ton bureau. 2) Regroupe les papiers au même endroit. 3) Jette ou recycle ce qui est évident. 4) Aligne les objets utiles. 5) Garde uniquement ce dont tu as besoin maintenant.;En forme;Maison;5;productivity
Tiroir minute;Transforme un petit tiroir encombré en espace utilisable.;Un rangement ciblé qui donne un résultat visible sans s'éparpiller.;1) Choisis un seul tiroir. 2) Sors uniquement ce qui gêne. 3) Jette les déchets évidents. 4) Regroupe les objets similaires. 5) Referme quand l'espace est plus lisible.;Mitigé;Maison;5;productivity
Sac allégé;Vide ce qui alourdit ton sac ou ta poche principale.;Une activité pratique pour enlever le superflu et retrouver tes essentiels.;1) Sors le contenu de ton sac ou de tes poches. 2) Mets de côté les objets utiles. 3) Jette tickets et papiers inutiles. 4) Replace seulement l'essentiel. 5) Note ce qui manque vraiment.;À plat;Maison;5;productivity
Inbox 10 mails;Traite dix emails faciles sans chercher à vider toute ta boîte.;Un sprint simple pour réduire la charge mentale numérique.;1) Ouvre ta boîte mail. 2) Supprime ou archive dix messages évidents. 3) Réponds seulement si cela prend moins d'une minute. 4) Ignore les dossiers complexes. 5) Ferme l'application après dix actions.;En forme;Bureau;5;productivity
Téléchargements propres;Nettoie rapidement ton dossier téléchargements.;Un petit tri numérique qui rend ton ordinateur ou téléphone moins encombré.;1) Ouvre le dossier téléchargements. 2) Supprime cinq fichiers inutiles. 3) Renomme un fichier important si besoin. 4) Déplace un document à sa bonne place. 5) Arrête après cinq minutes.;Mitigé;Bureau;5;productivity
Photos doublons;Supprime quelques photos inutiles pour alléger ton téléphone.;Une activité rapide pour reprendre le contrôle de ta galerie.;1) Ouvre ta galerie photo. 2) Va dans les images récentes. 3) Supprime les captures ratées ou doublons évidents. 4) Garde les souvenirs importants. 5) Stoppe dès que cinq minutes sont passées.;À plat;Bureau;5;productivity
Plan de demain;Clarifie la première action utile de demain.;Une mini-planification qui évite de repartir dans le flou.;1) Note trois choses possibles à faire demain. 2) Entoure la plus importante. 3) Découpe-la en première action concrète. 4) Ajoute une durée réaliste. 5) Laisse la liste visible.;En forme;Extérieur;5;productivity
Vaisselle visible;Traite uniquement la vaisselle visible et rapide.;Une action domestique courte pour réduire immédiatement le désordre.;1) Repère la vaisselle accessible. 2) Lave ou range ce qui prend moins de cinq minutes. 3) Ne lance pas un grand ménage. 4) Essuie rapidement la zone. 5) Arrête dès que c'est plus net.;Mitigé;Extérieur;5;productivity
Table dégagée;Libère une table ou un coin repas encombré.;Un rangement visible qui transforme rapidement l'ambiance d'une pièce.;1) Choisis une table précise. 2) Retire les objets qui n'y appartiennent pas. 3) Jette les déchets évidents. 4) Regroupe les affaires à déplacer. 5) Laisse une surface vide.;À plat;Extérieur;5;productivity
Coin chargeur;Réorganise câbles et chargeurs pour éviter le bazar.;Une activité utile pour rendre un petit coin technique plus propre.;1) Rassemble les câbles visibles. 2) Sépare ceux que tu utilises vraiment. 3) Enroule un câble correctement. 4) Mets de côté les doublons. 5) Garde un chargeur accessible.;En forme;Maison;5;productivity
