item_type,prompt,answer,translation,language
word,house,maison,,english
word,door,porte,,english
word,window,fenêtre,,english
word,room,pièce,,english
word,kitchen,cuisine,,english
word,garden,jardin,,english
word,street,rue,,english
word,city,ville,,english
word,village,village,,english
word,car,voiture,,english
word,train,train,,english
word,bus,bus,,english
word,bike,vélo,,english
word,boat,bateau,,english
word,plane,avion,,english
word,school,école,,english
word,teacher,professeur,,english
word,student,étudiant,,english
word,book,livre,,english
word,page,page,,english
word,pen,stylo,,english
word,table,table,,english
word,chair,chaise,,english
word,bed,lit,,english
word,phone,téléphone,,english
word,computer,ordinateur,,english
word,screen,écran,,english
word,key,clé,,english
word,bag,sac,,english
word,wallet,portefeuille,,english
word,money,argent,,english
word,shop,magasin,,english
word,market,marché,,english
word,bread,pain,,english
word,water,eau,,english
word,milk,lait,,english
word,coffee,café,,english
word,tea,thé,,english
word,fruit,fruit,,english
word,apple,pomme,,english
word,banana,banane,,english
word,orange,orange,,english
word,lemon,citron,,english
word,rice,riz,,english
word,pasta,pâtes,,english
word,meat,viande,,english
word,fish,poisson,,english
word,egg,œuf,,english
word,salt,sel,,english
word,sugar,sucre,,english
word,oil,huile,,english
word,soup,soupe,,english
word,plate,assiette,,english
word,glass,verre,,english
word,spoon,cuillère,,english
word,fork,fourchette,,english
word,knife,couteau,,english
word,day,jour,,english
word,night,nuit,,english
word,morning,matin,,english
word,evening,soir,,english
word,week,semaine,,english
word,month,mois,,english
word,year,année,,english
word,time,temps,,english
word,hour,heure,,english
word,minute,minute,,english
word,weather,météo,,english
word,sun,soleil,,english
word,rain,pluie,,english
word,wind,vent,,english
word,snow,neige,,english
word,fire,feu,,english
word,earth,terre,,english
word,sea,mer,,english
word,river,rivière,,english
word,mountain,montagne,,english
word,forest,forêt,,english
word,tree,arbre,,english
word,flower,fleur,,english
word,animal,animal,,english
word,dog,chien,,english
word,cat,chat,,english
word,bird,oiseau,,english
word,horse,cheval,,english
word,body,corps,,english
word,head,tête,,english
word,face,visage,,english
word,eye,œil,,english
word,ear,oreille,,english
word,nose,nez,,english
word,mouth,bouche,,english
word,hand,main,,english
word,arm,bras,,english
word,leg,jambe,,english
word,foot,pied,,english
word,back,dos,,english
word,heart,cœur,,english
word,friend,ami,,english
word,family,famille,,english
word,child,enfant,,english
word,woman,femme,,english
word,man,homme,,english
word,parent,parent,,english
word,brother,frère,,english
word,sister,sœur,,english
word,neighbor,voisin,,english
word,work,travail,,english
word,job,emploi,,english
word,office,bureau,,english
word,meeting,réunion,,english
word,email,courriel,,english
word,message,message,,english
word,question,question,,english
word,answer,réponse,,english
word,problem,problème,,english
word,idea,idée,,english
word,choice,choix,,english
word,reason,raison,,english
word,truth,vérité,,english
word,story,histoire,,english
word,music,musique,,english
word,film,film,,english
word,photo,photo,,english
word,picture,image,,english
word,color,couleur,,english
word,light,lumière,,english
word,shadow,ombre,,english
word,voice,voix,,english
