name;content;description;steps;mood;location;duration;image_key
Pompes propres express;Un défi court pour réveiller le haut du corps sans perdre de temps.;Une séance de 5 minutes centrée sur les pompes, avec une option genoux pour garder une bonne technique.;1) Échauffe poignets et épaules pendant 30 secondes. 2) Fais 5 à 10 pompes propres. 3) Récupère 20 secondes. 4) Recommence jusqu'à la fin. 5) Termine par 30 secondes d'étirement des pectoraux.;En forme;Maison;5;strength
Jambes feu vert;Cinq minutes pour activer les cuisses, les fessiers et le cardio.;Un format simple autour des squats, facile à doser selon ton niveau.;1) Fais 20 secondes de montées de genoux légères. 2) Enchaîne 12 squats contrôlés. 3) Récupère 15 secondes. 4) Recommence pendant 5 minutes. 5) Garde les talons au sol et le dos droit.;En forme;Maison;5;strength
Cardio sans bruit;Un boost rapide qui fait monter le rythme sans sauter partout.;Un mini-cardio maison avec mouvements silencieux, idéal en appartement.;1) Marche rapide sur place pendant 30 secondes. 2) Fais 30 secondes de step-back rapides. 3) Ajoute 30 secondes de mountain climbers lents. 4) Récupère 20 secondes. 5) Répète jusqu'à 5 minutes.;En forme;Maison;5;cardio
Haut du corps solide;Un programme court pour bras, épaules et gainage avec zéro matériel obligatoire.;Une séance de 15 minutes qui mélange pompes adaptées, dips sur chaise et gainage.;1) Échauffe épaules et poignets pendant 2 minutes. 2) Fais 3 tours de 8 pompes, 10 dips sur chaise, 20 secondes de planche. 3) Récupère 45 secondes entre les tours. 4) Adapte les pompes sur les genoux si besoin. 5) Termine par 2 minutes d'étirement doux.;En forme;Maison;15;strength
Bas du corps engagé;Un bloc efficace pour jambes et fessiers, sans matériel.;Une séance de 15 minutes orientée squats, fentes et maintien postural.;1) Échauffe chevilles, genoux et hanches pendant 2 minutes. 2) Fais 3 tours de 12 squats, 8 fentes arrière par jambe, 20 secondes de chaise contre un mur. 3) Récupère 45 secondes. 4) Garde le mouvement contrôlé. 5) Termine par une marche lente sur place.;En forme;Maison;15;strength
Shadow cardio;Une session énergique de shadow boxing pour transpirer sans matériel.;Une séance de 15 minutes avec déplacements simples, garde haute et combinaisons faciles.;1) Échauffe épaules et nuque pendant 2 minutes. 2) Fais 4 rounds de 2 minutes avec jab, direct, esquive légère et pas chassés. 3) Récupère 45 secondes entre les rounds. 4) Garde les poings relâchés et le ventre engagé. 5) Termine par 2 minutes de retour au calme.;En forme;Maison;15;boxing
Corps complet maison;Un vrai programme complet pour sortir du mode canapé.;Une séance de 30 minutes qui alterne haut du corps, jambes, cardio et gainage.;1) Échauffe tout le corps pendant 4 minutes. 2) Fais 4 tours de 10 pompes adaptées, 15 squats, 20 mountain climbers, 30 secondes de planche. 3) Récupère 1 minute entre les tours. 4) Garde une technique propre. 5) Termine par 5 minutes d'étirements légers.;En forme;Maison;30;strength
Cardio appartement complet;Une séance dynamique mais contrôlée pour faire monter le souffle chez soi.;Un programme de 30 minutes sans saut obligatoire, pensé pour travailler l'endurance.;1) Échauffe-toi 5 minutes avec marche rapide et rotations articulaires. 2) Fais 5 tours de 40 secondes step-back, 40 secondes squats, 40 secondes mountain climbers lents. 3) Récupère 45 secondes. 4) Reste fluide et silencieux. 5) Termine par 5 minutes de retour au calme.;En forme;Maison;30;cardio
Haut du corps bouteilles;Une séance simple pour renforcer bras et épaules avec deux bouteilles d'eau.;Un programme maison qui utilise des bouteilles comme charges légères optionnelles.;1) Remplis deux bouteilles et échauffe les épaules 4 minutes. 2) Fais 4 tours de 12 curls, 12 élévations latérales, 8 pompes adaptées, 20 secondes de gainage. 3) Récupère 1 minute. 4) Garde les épaules basses. 5) Termine par étirements des bras et pectoraux.;En forme;Maison;30;strength
Réveil musculaire doux;Un démarrage rapide pour remettre le corps en route sans se cramer.;Une activité de 5 minutes avec mouvements simples et intensité modérée.;1) Respire calmement et redresse-toi. 2) Fais 10 squats lents. 3) Fais 10 pompes contre un mur ou une table. 4) Marche sur place 1 minute. 5) Répète sans forcer.;Mitigé;Maison;5;mobility
Gainage mini-dose;Un petit bloc abdos pour retrouver de la tenue en quelques minutes.;Une séance courte centrée sur le tronc, avec des temps faciles à adapter.;1) Échauffe le dos avec 30 secondes de rotations douces. 2) Tiens 20 secondes de planche sur genoux ou pieds. 3) Fais 10 dead bugs lents. 4) Récupère 20 secondes. 5) Recommence jusqu'à 5 minutes.;Mitigé;Maison;5;core
Mobilité active;Cinq minutes pour délier épaules, dos et hanches sans faire du yoga.;Un enchaînement articulaire simple, utile quand tu te sens un peu bloqué.;1) Fais 30 secondes de rotations d'épaules. 2) Fais 30 secondes de rotations de hanches. 3) Fais 8 flexions de jambes lentes. 4) Fais 8 ouvertures de bras. 5) Répète en respirant calmement.;Mitigé;Maison;5;mobility
Circuit tranquille;Un programme court qui fait bouger tout le corps sans pression.;Une séance de 15 minutes à intensité moyenne avec récupération intégrée.;1) Échauffe-toi 2 minutes. 2) Fais 3 tours de 10 squats, 8 pompes inclinées, 20 secondes de planche, 30 secondes de marche rapide. 3) Récupère 1 minute entre les tours. 4) Garde de la marge. 5) Termine calmement.;Mitigé;Maison;15;strength
Abdos et posture;Un bloc propre pour renforcer le centre du corps et te redresser.;Une séance de 15 minutes axée gainage, respiration et contrôle du bassin.;1) Échauffe le dos pendant 2 minutes. 2) Fais 3 tours de 10 dead bugs, 20 secondes de planche latérale par côté, 12 ponts fessiers. 3) Récupère 45 secondes. 4) Ne cambre pas le dos. 5) Termine par étirement doux des hanches.;Mitigé;Maison;15;core
Boxe légère maison;Un peu de rythme, un peu de sueur, mais sans brutaliser le corps.;Une initiation au shadow boxing modéré avec mouvements fluides.;1) Échauffe nuque et épaules 2 minutes. 2) Fais 5 rounds de 1 minute avec jab, direct et esquive lente. 3) Récupère 30 secondes. 4) Reste souple, sans verrouiller les coudes. 5) Termine par retour au calme.;Mitigé;Maison;15;boxing
Renfo équilibré;Une séance complète mais raisonnable pour retrouver de l'énergie.;Un format 30 minutes qui combine jambes, haut du corps et abdos avec une intensité moyenne.;1) Échauffe-toi 5 minutes. 2) Fais 4 tours de 12 squats, 8 pompes inclinées, 12 ponts fessiers, 20 secondes de planche. 3) Récupère 1 minute. 4) Adapte chaque exercice. 5) Termine par 5 minutes de mobilité.;Mitigé;Maison;30;strength
Mobilité plus renfo;Un programme pour bouger mieux et renforcer sans chercher la performance.;Une séance de 30 minutes qui alterne mobilité active et renforcement léger.;1) Mobilise articulations pendant 5 minutes. 2) Fais 3 tours de 10 squats lents, 10 pompes murales, 12 dead bugs, 12 good mornings sans charge. 3) Récupère 1 minute. 4) Reste lent et propre. 5) Termine par étirements doux.;Mitigé;Maison;30;mobility
Cardio modéré sans impact;Un effort progressif pour respirer plus fort sans se mettre dans le rouge.;Une séance de 30 minutes à faible impact, adaptée aux jours moyens.;1) Échauffe-toi 5 minutes. 2) Fais 6 tours de 1 minute marche rapide sur place, 1 minute step-back, 1 minute squat lent. 3) Récupère 30 secondes entre les tours. 4) Garde un rythme parlant. 5) Termine par 5 minutes lentes.;Mitigé;Maison;30;cardio
Déblocage canapé;Un mini-mouvement pour casser l'inertie sans se juger.;Une activité très accessible pour remettre un peu de circulation dans le corps.;1) Lève-toi et marche lentement 1 minute. 2) Fais 8 rotations d'épaules. 3) Fais 8 demi-squats. 4) Étire doucement les mollets. 5) Recommence calmement jusqu'à 5 minutes.;À plat;Maison;5;mobility
Étirement express;Cinq minutes pour détendre dos, jambes et épaules sans exercice compliqué.;Un court moment d'étirements simples, sans posture de yoga.;1) Incline doucement la tête de chaque côté. 2) Étire les épaules contre un mur. 3) Penche-toi vers l'avant sans forcer. 4) Étire les mollets contre un mur. 5) Respire lentement pendant chaque position.;À plat;Maison;5;mobility
Marche sur place calme;Une action minimale pour remettre le corps en marche.;Une activité de 5 minutes qui demande peu d'énergie mais coupe le scroll.;1) Mets-toi debout. 2) Marche sur place à rythme lent pendant 1 minute. 3) Ajoute des mouvements de bras doux. 4) Fais une pause si besoin. 5) Continue jusqu'à 5 minutes.;À plat;Maison;5;cardio
Retour au corps;Un quart d'heure très doux pour te sentir moins lourd et plus présent.;Une séance basse intensité avec mobilité, respiration calme et mouvements simples.;1) Marche lentement 3 minutes. 2) Fais 10 rotations d'épaules, 10 rotations de hanches, 10 demi-squats. 3) Étire mollets, pectoraux et dos 30 secondes chacun. 4) Bois un peu d'eau. 5) Termine par 2 minutes assis, dos droit.;À plat;Maison;15;mobility
Chaise et mobilité;Une séance douce avec une chaise pour bouger sans trop puiser dans tes réserves.;Un programme accessible qui utilise une chaise comme support de stabilité.;1) Assieds-toi puis relève-toi 8 fois lentement. 2) Tiens le dossier et fais 10 élévations de mollets. 3) Étire les épaules contre le dossier. 4) Marche 2 minutes dans la pièce. 5) Répète tranquillement.;À plat;Maison;15;mobility
Abdos faciles;Un petit travail du centre du corps sans intensité agressive.;Une séance légère au sol pour retrouver du contrôle sans fatigue excessive.;1) Allonge-toi sur le dos. 2) Fais 8 dead bugs lents par côté. 3) Fais 12 ponts fessiers. 4) Respire 30 secondes. 5) Répète 3 fois en gardant le dos confortable.;À plat;Maison;15;core
Récupération active maison;Trente minutes pour sortir de la torpeur avec douceur.;Un programme très progressif pour bouger sans chercher la performance.;1) Marche lentement 5 minutes. 2) Fais 3 tours de 10 demi-squats, 10 pompes murales, 10 rotations de hanches. 3) Récupère autant que nécessaire. 4) Étire mollets, dos et épaules 8 minutes. 5) Termine par une respiration calme.;À plat;Maison;30;mobility
Corps léger;Une séance douce pour délier les tensions et retrouver un minimum d'élan.;Un mélange de mobilité et de renforcement très léger sur 30 minutes.;1) Mobilise les articulations 5 minutes. 2) Fais 4 tours faciles de 8 squats vers une chaise, 8 pompes murales, 10 ponts fessiers. 3) Récupère 1 minute. 4) Termine par 10 minutes d'étirements simples. 5) Reste toujours confortable.;À plat;Maison;30;mobility
Marche intérieure longue;Une marche simple pour réactiver doucement le corps quand sortir semble trop dur.;Une activité de 30 minutes à très basse intensité, entre marche intérieure et pauses mobilité.;1) Marche dans ton logement pendant 5 minutes. 2) Fais 1 minute de rotations d'épaules. 3) Reprends 5 minutes de marche. 4) Ajoute mollets et hanches en mobilité douce. 5) Alterne jusqu'à 30 minutes.;À plat;Maison;30;cardio
Sprint de trottoir;Un mini-défi dehors pour libérer l'énergie rapidement.;Une séance de 5 minutes avec accélérations courtes, sans obligation de sprinter à fond.;1) Marche vite 1 minute. 2) Accélère 15 secondes. 3) Marche 30 secondes. 4) Répète 5 fois. 5) Reste prudent et choisis un endroit dégagé.;En forme;Extérieur;5;walk_run
Escaliers express;Une activation intense et simple si tu as quelques marches à proximité.;Un format court autour des escaliers, adaptable en marchant vite au lieu de courir.;1) Monte les marches à rythme soutenu pendant 20 secondes. 2) Redescends calmement. 3) Récupère 20 secondes. 4) Répète pendant 5 minutes. 5) Arrête si les genoux protestent.;En forme;Extérieur;5;cardio
Shadow dehors;Cinq minutes de boxe dans l'air pour te vider la tête.;Une session rapide de shadow boxing en extérieur, sans contact et sans matériel.;1) Trouve un espace libre. 2) Échauffe épaules 30 secondes. 3) Fais 4 rounds de 45 secondes avec jab, direct et déplacements. 4) Récupère 15 secondes. 5) Reste souple et léger.;En forme;Extérieur;5;boxing
Course fractionnée simple;Un quart d'heure efficace pour travailler le souffle.;Une séance dehors qui alterne course modérée et marche de récupération.;1) Marche vite 3 minutes. 2) Alterne 1 minute de course et 1 minute de marche pendant 10 minutes. 3) Finis par 2 minutes de marche lente. 4) Garde une allure contrôlée. 5) Ne cherche pas la vitesse maximale.;En forme;Extérieur;15;walk_run
Renfo parc;Un programme dehors sans matériel pour tout le corps.;Une séance de 15 minutes avec squats, pompes sur banc optionnel et gainage.;1) Échauffe-toi en marchant 2 minutes. 2) Fais 3 tours de 12 squats, 8 pompes sur banc ou au sol, 20 secondes de planche. 3) Récupère 45 secondes. 4) Reste propre techniquement. 5) Marche 2 minutes pour finir.;En forme;Extérieur;15;strength
Cardio urbain;Transforme la rue en terrain d'entraînement simple et efficace.;Une séance de 15 minutes avec marche rapide, accélérations et montées de genoux modérées.;1) Marche vite 3 minutes. 2) Fais 5 tours de 30 secondes accélérées, 30 secondes marche, 30 secondes montées de genoux légères. 3) Récupère si besoin. 4) Surveille ton environnement. 5) Termine en marchant.;En forme;Extérieur;15;cardio
Endurance dehors;Trente minutes pour revenir avec le corps chaud et la tête plus claire.;Un programme progressif alternant marche rapide et course légère.;1) Marche vite 5 minutes. 2) Alterne 3 minutes de course légère et 2 minutes de marche pendant 20 minutes. 3) Finis par 5 minutes de marche lente. 4) Garde une respiration régulière. 5) Ajuste l'allure selon ton niveau.;En forme;Extérieur;30;walk_run
Circuit outdoor complet;Une séance complète au poids du corps, dehors et sans matériel.;Un entraînement de 30 minutes avec jambes, haut du corps, cardio et gainage.;1) Échauffe-toi 5 minutes. 2) Fais 4 tours de 15 squats, 10 pompes adaptées, 30 secondes de marche rapide, 30 secondes de planche. 3) Récupère 1 minute. 4) Garde de la marge. 5) Termine par 5 minutes de marche.;En forme;Extérieur;30;strength
Boxe endurance;Une longue session de shadow boxing pour transpirer sans adversaire.;Une séance de 30 minutes alternant déplacements, combinaisons simples et récupération active.;1) Échauffe-toi 5 minutes. 2) Fais 6 rounds de 3 minutes avec jab, direct, crochet léger et déplacements. 3) Récupère 1 minute entre les rounds. 4) Reste fluide. 5) Termine par 4 minutes de marche lente.;En forme;Extérieur;30;boxing
Marche tonique;Cinq minutes dehors pour casser l'inertie et reprendre de l'élan.;Une marche courte mais volontaire, sans objectif de performance.;1) Sors ou avance vers un espace dégagé. 2) Marche vite pendant 4 minutes. 3) Garde les épaules basses. 4) Respire par le nez si possible. 5) Termine par 30 secondes plus lentes.;Mitigé;Extérieur;5;walk_run
