item_type,prompt,answer,translation,language
word,hello,bonjour,,english
word,goodbye,au revoir,,english
word,please,s'il te plaît,,english
word,thank you,merci,,english
word,yes,oui,,english
word,no,non,,english
word,maybe,peut-être,,english
word,always,toujours,,english
word,never,jamais,,english
word,often,souvent,,english
word,sometimes,parfois,,english
word,today,aujourd'hui,,english
word,tomorrow,demain,,english
word,yesterday,hier,,english
word,now,maintenant,,english
word,later,plus tard,,english
word,soon,bientôt,,english
word,again,encore,,english
word,here,ici,,english
word,there,là-bas,,english
word,inside,à l'intérieur,,english
word,outside,dehors,,english
word,near,près,,english
word,far,loin,,english
word,left,gauche,,english
word,right,droite,,english
word,morning,matin,,english
word,afternoon,après-midi,,english
word,evening,soir,,english
word,night,nuit,,english
word,minute,minute,,english
word,hour,heure,,english
word,day,jour,,english
word,week,semaine,,english
word,month,mois,,english
word,year,année,,english
word,time,temps,,english
word,moment,moment,,english
word,life,vie,,english
word,world,monde,,english
word,person,personne,,english
word,people,gens,,english
word,man,homme,,english
word,woman,femme,,english
word,child,enfant,,english
word,friend,ami,,english
word,family,famille,,english
word,mother,mère,,english
word,father,père,,english
word,sister,sœur,,english
word,brother,frère,,english
word,neighbor,voisin,,english
word,teacher,professeur,,english
word,student,étudiant,,english
word,doctor,médecin,,english
word,nurse,infirmier,,english
word,driver,conducteur,,english
word,artist,artiste,,english
word,photographer,photographe,,english
word,developer,développeur,,english
word,home,maison,,english
word,house,maison,,english
word,apartment,appartement,,english
word,room,pièce,,english
word,bedroom,chambre,,english
word,kitchen,cuisine,,english
word,bathroom,salle de bain,,english
word,door,porte,,english
word,window,fenêtre,,english
word,wall,mur,,english
word,floor,sol,,english
word,ceiling,plafond,,english
word,table,table,,english
word,chair,chaise,,english
word,sofa,canapé,,english
word,bed,lit,,english
word,lamp,lampe,,english
word,shelf,étagère,,english
word,mirror,miroir,,english
word,key,clé,,english
word,bag,sac,,english
word,phone,téléphone,,english
word,computer,ordinateur,,english
word,screen,écran,,english
word,keyboard,clavier,,english
word,mouse,souris,,english
word,camera,appareil photo,,english
word,book,livre,,english
word,notebook,carnet,,english
word,pen,stylo,,english
word,pencil,crayon,,english
word,paper,papier,,english
word,letter,lettre,,english
word,message,message,,english
word,photo,photo,,english
word,image,image,,english
word,picture,image,,english
word,color,couleur,,english
word,line,ligne,,english
word,shape,forme,,english
word,light,lumière,,english
word,shadow,ombre,,english
word,texture,texture,,english
word,contrast,contraste,,english
word,angle,angle,,english
word,frame,cadre,,english
word,focus,mise au point,,english
word,street,rue,,english
word,road,route,,english
word,avenue,avenue,,english
word,square,place,,english
word,park,parc,,english
word,garden,jardin,,english
word,bridge,pont,,english
word,river,rivière,,english
word,station,gare,,english
word,train,train,,english
word,bus,bus,,english
word,metro,métro,,english
word,car,voiture,,english
word,bike,vélo,,english
word,ticket,ticket,,english
word,city,ville,,english
word,village,village,,english
word,country,pays,,english
word,beach,plage,,english
word,mountain,montagne,,english
word,forest,forêt,,english
word,tree,arbre,,english
word,flower,fleur,,english
word,grass,herbe,,english
word,sky,ciel,,english
word,cloud,nuage,,english
word,rain,pluie,,english
word,snow,neige,,english
word,wind,vent,,english
word,sun,soleil,,english
word,moon,lune,,english
word,star,étoile,,english
word,sea,mer,,english
word,lake,lac,,english
word,island,île,,english
word,stone,pierre,,english
word,sand,sable,,english
word,water,eau,,english
word,coffee,café,,english
word,tea,thé,,english
word,milk,lait,,english
word,juice,jus,,english
word,bread,pain,,english
word,butter,beurre,,english
word,cheese,fromage,,english
word,egg,œuf,,english
word,rice,riz,,english
word,pasta,pâtes,,english
word,potato,pomme de terre,,english
word,tomato,tomate,,english
word,onion,oignon,,english
word,garlic,ail,,english
word,carrot,carotte,,english
word,apple,pomme,,english
word,banana,banane,,english
word,orange,orange,,english
word,lemon,citron,,english
word,strawberry,fraise,,english
word,grape,raisin,,english
word,meat,viande,,english
word,fish,poisson,,english
word,chicken,poulet,,english
word,soup,soupe,,english
word,salad,salade,,english
word,salt,sel,,english
word,pepper,poivre,,english
word,sugar,sucre,,english
word,breakfast,petit déjeuner,,english
word,lunch,déjeuner,,english
word,dinner,dîner,,english
word,meal,repas,,english
word,plate,assiette,,english
word,glass,verre,,english
word,fork,fourchette,,english
word,knife,couteau,,english
word,spoon,cuillère,,english
word,clothes,vêtements,,english
word,shirt,chemise,,english
word,jacket,veste,,english
word,coat,manteau,,english
word,trousers,pantalon,,english
word,shoes,chaussures,,english
word,hat,chapeau,,english
word,watch,montre,,english
word,glasses,lunettes,,english
word,body,corps,,english
word,head,tête,,english
word,face,visage,,english
word,eye,œil,,english
word,ear,oreille,,english
word,nose,nez,,english
word,mouth,bouche,,english
word,hand,main,,english
word,arm,bras,,english
word,leg,jambe,,english
word,foot,pied,,english
word,back,dos,,english
word,heart,cœur,,english
word,mind,esprit,,english
word,voice,voix,,english
word,breath,respiration,,english
word,work,travail,,english
