question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source
"Quel polymère est utilisé pour fabriquer les CD, les lunettes de sécurité et les boucliers anti-émeute ?",Polycarbonate,Caoutchouc,Nylon,Bakélite,Science et nature,medium,Open Trivia DB
Qui a remporté le Grand Prix de Monaco 2018 ?,Daniel Ricciardo,Sebastian Vettel,Kimi Räikkönen,Lewis Hamilton,Sportif,medium,Open Trivia DB
Le tibia se trouve dans quelle partie du corps ?,Jambe,Bras,Main,Tête,Science et nature,medium,Open Trivia DB
Quel album collaboratif Kanye West et Jay-Z ont-ils sorti en 2011 ?,Surveillez le trône,Parents éloignés,Quelle époque formidable pour être en vie,Affaires inachevées,Divertissement : Musique,easy,Open Trivia DB
"Sans compter leur instructeur, combien de membres de la Classe VII y a-t-il dans le jeu « Legend of Heroes : Trails of Cold Steel » ?",9,6,10,3,Divertissement : Jeux vidéo,medium,Open Trivia DB
Quel est le nom de la monnaie dans la série « Animal Crossing » ?,Cloches,Coquillages,Feuilles,Insectes,Divertissement : Jeux vidéo,medium,Open Trivia DB
Qui a créé la série « Metal Gear » ?,Hideo Kojima,Hiroshi Yamauchi,Shigeru Miyamoto,Gunpei Yokoi,Divertissement : Jeux vidéo,easy,Open Trivia DB
Le panthéon de Rome servait à vénérer quel dieu ?,N'importe quel dieu qu'ils voulaient,Athéna,Zeus,Athéna et Zeus,Histoire,hard,Open Trivia DB
Combien de planètes compte le système solaire ?,8,9,11,10,Science et nature,easy,Open Trivia DB
Qui est le Simili de Sora dans Kingdom Hearts ?,Roxas,Riku,Kairi,Mickey,Divertissement : Jeux vidéo,medium,Open Trivia DB
"Dans le jeu Warframe, quel est le type de poisson connu pour dévorer les indigènes imprudents de Cetus ?",Sharrac,Glappid,Karkina,Poisson-mouche,Divertissement : Jeux vidéo,hard,Open Trivia DB
Quel est le nom du kit d'objets Sims 4 sur le thème d'Halloween sorti le 29 septembre 2015 ?,Des trucs effrayants,Fantômes et goules,Nuits angoissantes,Effroi,Divertissement : Jeux vidéo,hard,Open Trivia DB
"Dans ""Overwatch"", quel héros est capable de se déplacer sur les murs ?",Lucio,Reinhardt,Sombra,Miséricorde,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel caractère était autrefois considéré comme la 27e lettre de l'alphabet ?,Esperluette,Interrobang,Tilde,Pilcrow,Connaissances générales,medium,Open Trivia DB
Dans lequel des pays suivants l'action de « JoJo's Bizarre Adventure : Stardust Crusaders » ne se déroule-t-elle pas ?,Philippines,Inde,Pakistan,Egypte,Divertissement : Anime et manga japonais,hard,Open Trivia DB
Quand la Finlande a-t-elle fêté son centenaire d'indépendance ?,2017,2016,2018,2015,Histoire,hard,Open Trivia DB
"Dans les jeux Pokémon de deuxième génération, avec quel Pokémon peut-on commencer ?","Chikorita, Cyndaquil et Totodile","Bulbizarre, Salamèche et Carapuce","Arcko, Torchic et Gobou","Herbeux, ardent et aquatique",Divertissement : Jeux vidéo,easy,Open Trivia DB
Leonardo DiCaprio a remporté son premier Oscar du meilleur acteur pour sa performance dans quel film ?,Le Revenant,Le Loup de Wall Street,Shutter Island,Création,Divertissement : Film,medium,Open Trivia DB
Qui a été le meilleur buteur de l'équipe nationale d'Angleterre de football ?,Wayne Rooney,David Beckham,Steven Gerrard,Michael Owen,Sportif,medium,Open Trivia DB
Dans quel roman classique de Mark Twain un mendiant et le prince de Galles échangent-ils leurs vêtements et découvrent-ils ainsi les inégalités sociales ?,Le Prince et le Pauvre,Hamlet,Le garçon riche et le crétin,Une histoire moderne de Twain,Divertissement : Livres,hard,Open Trivia DB
Combien de personnages jouables y a-t-il dans Yakuza 5 ?,5,2,3,1,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans « Call Of Duty : Zombies », quel easter egg principal de quelle carte vous permettra de débloquer le succès « Petite fille perdue » ?",Origines,Révélations,Lune,Tranzit,Divertissement : Jeux vidéo,medium,Open Trivia DB
Quel terme décrit le mieux la liaison entre deux sections d'une œuvre musicale par un passage de transition ?,Pont,Coda,Capo,Forme binaire,Divertissement : Musique,easy,Open Trivia DB
Quel mot représente la lettre « T » dans l'alphabet phonétique de l'OTAN ?,Tango,Cible,Taxi,Turquie,Connaissances générales,easy,Open Trivia DB
L'atoll de Bikini se trouve dans quel pays ?,Îles Marshall,Fidji,Îles Christmas,Bahamas,Géographie,medium,Open Trivia DB
"Quel est le nom par défaut du personnage Vampire dans ""Shining Soul 2"" ?",Étoile de sang,Sachs,Dracuul,Alucard,Divertissement : Jeux vidéo,hard,Open Trivia DB
"En biologie humaine, un rythme circadien correspond à une période d'environ combien d'heures ?",24,8,16,32,Science et nature,medium,Open Trivia DB
Laquelle des fables suivantes n'est PAS une fable d'Ésope ?,Rox et Rouky,Le Renard et les Raisins,La Tortue et le Lièvre,La grenouille et le bœuf,Connaissances générales,medium,Open Trivia DB
À quel philosophe grec associeriez-vous la phrase « Je sais que je ne sais rien » ?,Socrate,Aristote,Platon,Pythagore,Histoire,hard,Open Trivia DB
Quel personnage de la série « Animal Crossing » utilise l'expression « zip zoom » lorsqu'il parle au joueur ?,Scoot,Canard,Facture,Mallary,Divertissement : Jeux vidéo,easy,Open Trivia DB
